municipality_of_production,municipality_of_production_id,state_of_production,state_of_production_id,volume_tons,volume_pct,fob_usd,fob_pct,deforestation_exposure_ha,deforestation_exposure_pct,gross_emissions_tons_co2,gross_emissions_pct
QUEVEDOS,4315321,RIO GRANDE DO SUL,43,66409.14198673285,5.452412941111772E-4,2.3134811594247684E7,6.814110301329423E-4,1554.8627661804935,0.0037324619389411664,128059.40422292188,0.002039432960639457
CAPAO BONITO DO SUL,4304622,RIO GRANDE DO SUL,43,66249.99997546541,5.439346849068563E-4,0.0,0.0,216.69191003737498,5.201708628458327E-4,11098.0686777288,1.7674427893948582E-4
SANTA CRUZ DE GOIAS,5219209,GOIAS,52,66150.0,5.431136516213376E-4,0.0,0.0,142.82530710098436,3.428534236378549E-4,18802.46600621974,2.9944203744408567E-4
RESERVA DO IGUACU,4121752,PARANA,41,65736.46816847801,5.3971841680532E-4,2.27519408160457E7,6.701339825408503E-4,34.84009172294163,8.363395093995287E-5,15571.172621889862,2.4798149634999397E-4
SAO JOSE DA BOA VISTA,4125407,PARANA,41,65431.43318794084,5.372139774681803E-4,1196142.6726733102,3.523109783936825E-5,1.6640197261536334,3.99449419499107E-6,743.7046552063554,1.1844001586705472E-5
BRASILANDIA DO SUL,4103370,PARANA,41,65246.99780854006,5.356997012415058E-4,1.3642496979684636E7,4.018250973275221E-4,0.0,0.0,0.0,0.0
TAQUARITUBA,3553807,SAO PAULO,35,65174.31217700472,5.351029278663952E-4,2.23227589308908E7,6.574928910287622E-4,0.0,0.0,0.0,0.0
SANTIAGO,4317400,RIO GRANDE DO SUL,43,64895.100905979525,5.328105098319231E-4,1.1965212017682713E7,3.5242247007343186E-4,5080.601795700923,0.01219602992742096,408730.6137952894,0.006509312540182066
ITAI,3521804,SAO PAULO,35,64751.75104646065,5.31633559481769E-4,2.3774830994668376E7,7.002621142305612E-4,0.0,0.0,0.0,0.0
MARMELEIRO,4115408,PARANA,41,64709.98808723909,5.312906716014162E-4,2.2542880963036213E7,6.63976349087978E-4,12.014119744236478,2.884000160695777E-5,5369.50172017992,8.551296062007663E-5
